epoch,train_loss,val_loss,train_acc,val_acc
1,1.8411379059155781,1.77057546377182,0.16842105263157894,0.16666666666666666
2,1.7595398426055908,1.7655715942382812,0.22105263157894736,0.16666666666666666
3,1.7163505951563518,1.7623066902160645,0.3157894736842105,0.20833333333333334
4,1.613227128982544,1.7501453161239624,0.3894736842105263,0.2916666666666667
5,1.4311022361119587,1.7382786273956299,0.4842105263157895,0.3333333333333333
6,1.2678202986717224,1.7701020240783691,0.5263157894736842,0.2916666666666667
7,1.0586602687835693,1.8405327200889587,0.6105263157894737,0.3333333333333333
8,1.0093971987565358,1.7703317999839783,0.5894736842105263,0.375
9,0.7963674167792002,1.760789394378662,0.7368421052631579,0.4166666666666667
10,0.6407675842444102,1.9399108290672302,0.8,0.375
11,0.5969887375831604,2.047313094139099,0.7789473684210526,0.2916666666666667
12,0.4831293076276779,1.9863543510437012,0.8526315789473684,0.4583333333333333
13,0.4128876676162084,2.020798772573471,0.8842105263157894,0.4166666666666667
14,0.2596981053551038,2.296106517314911,0.9578947368421052,0.375
15,0.2176989937822024,2.273780792951584,0.9578947368421052,0.4583333333333333
16,0.14485658581058183,2.4578089714050293,0.9578947368421052,0.4166666666666667
17,0.13431534791986147,2.8558743596076965,0.968421052631579,0.4583333333333333
18,0.14316689471403757,2.5718693137168884,0.9578947368421052,0.4166666666666667
19,0.08225496982534726,2.7025586366653442,1.0,0.4583333333333333
20,0.06861414387822151,2.6074089407920837,1.0,0.4166666666666667
21,0.08469770103693008,2.9203433990478516,0.9789473684210527,0.4583333333333333
22,0.043007258946696915,2.9780364632606506,1.0,0.4583333333333333
23,0.09165584839259584,3.961972713470459,0.9789473684210527,0.5416666666666666
24,0.08206436845163505,2.9765939116477966,0.9789473684210527,0.4583333333333333
25,0.06932831183075905,3.961082339286804,0.9894736842105263,0.5416666666666666
26,0.1068371666284899,3.2298094034194946,0.9578947368421052,0.4166666666666667
27,0.04539104038849473,3.419181704521179,0.9894736842105263,0.375
28,0.09486439141134421,3.35239040851593,0.9894736842105263,0.5
29,0.03251677332445979,3.465635657310486,0.9894736842105263,0.5
30,0.01767334054845075,3.2255204916000366,1.0,0.5
